#id	编码	名称	显示图	描述	时间
$id	cname	name	image	desc	time
0	a	苹果	1	无	10
1	b	笔	1	无	10
2	c	月亮	1	无	10
3	d	弟弟	1	无	10
4	e	鹅	1	无	10
5	f	斧头	1	无	10
6	g	哥哥	1	无	10
7	h	椅子	1	无	10
8	i	蜡烛	1	无	10
9	j	鱼钩	1	无	10
10	k	机枪	1	无	10
11	l	棍子	1	无	10
12	m	麦当劳	1	无	10
13	n	门	1	无	10
14	o	鸡蛋	1	无	10
15	p	皮鞋	1	无	10
16	q	气球	1	无	10
17	r	小草	1	无	10
18	s	蛇	1	无	10
19	t	雨伞	1	无	10
20	u	水杯	1	无	10
21	v	漏斗	1	无	10
22	w	皇冠	1	无	10
23	x	剪刀	1	无	10
24	y	衣撑	1	无	10
25	z	闪电	1	无	10
